Customer_ID,R_days,R_log,F_orders,F_orders_log,M_total_revenue,M_aov,M_revenue_log,M_aov_log,B_orders_per_month,B_lifespan_days,B_avg_items_per_order,B_revenue_per_item,B_avg_discount_pct,B_discount_revenue_ratio,B_refund_rate,B_cancel_rate,B_email_ctr,B_web_visits,B_app_opens,B_total_interactions,B_interaction_rate,B_support_tickets,B_tickets_per_order,B_churn_risk_flag,P_tenure_days,P_tenure_months,P_loyalty_points,P_loyalty_ratio,P_satisfaction,P_is_subscriber,P_marketing_opt_in,R_score,F_score,M_score,RFM_sum,RFM_weighted,RFM_segment,scaled_R_log,scaled_F_orders_log,scaled_M_revenue_log,scaled_M_aov_log,scaled_B_orders_per_month,scaled_B_lifespan_days,scaled_B_avg_items_per_order,scaled_B_revenue_per_item,scaled_B_avg_discount_pct,scaled_B_discount_revenue_ratio,scaled_B_refund_rate,scaled_B_cancel_rate,scaled_B_email_ctr,scaled_B_interaction_rate,scaled_B_tickets_per_order,scaled_P_tenure_days,scaled_P_loyalty_ratio,scaled_P_satisfaction
CUST-001000,53,3.9889840465642745,27,3.332204510175204,4168.9,106.8948717948718,8.335647333689955,4.68115734374697,2.3307,1450,2.87,37.22232142857143,1.5384615384615383,0.013,0.0512820512820512,0.1282051282051282,1.2667,18,6,101,0.201195,14,0.359,0,502,16.7,258,0.0619,6.0,0,1,3,4,4,11,3.7,Standard,0.06715216926414733,0.4999999999999998,0.5007217153085696,0.1821767398544372,1.1684089069523136,0.8006662965019433,0.15306122448979606,0.07878745822568044,0.08202258011908024,0.043290043290043226,-0.15605616884447734,0.45746475678281345,1.6805944694847115,1.492435897749481,0.24655206222628928,-0.48370019504040124,-0.13268869191512236,-0.3333333333333333
CUST-001001,283,5.648974238161206,6,1.9459101490553132,389.13,55.59,5.966480016913812,4.035832291154432,0.1703,624,1.86,29.93307692307692,1.4285714285714286,0.0107,0.0,0.0,2.0,2,1,9,0.007299,0,0.0,1,1233,41.1,15,0.0385,1.0,0,0,1,2,2,5,1.7,Churned,1.2144107311970394,-0.5000000000000002,-0.5420778772442175,-0.7500483608855136,-0.31980298620559,-0.11660188784008883,-0.3622448979591836,-0.9551779338830334,0.021761092684654,-0.08946608946608953,-0.6086190584934591,-0.6082201879953303,3.4671701790717497,-0.4046042574216257,-0.692071377214197,0.3310114237949289,-0.38409884501745917,-2.0
CUST-001002,19,2.995732273553991,0,0.0,166.44,83.22,5.120625078137744,4.433432422733782,0.0363,425,1.5,55.48,2.5,0.0241,0.5,0.5,0.6667,2,0,13,0.007874,0,0.0,0,1651,55.0,13,0.0781,6.0,0,1,4,1,1,6,1.9,New,-0.6193076703839675,-1.9036774610288023,-0.9143847123371104,-0.17568227789104257,-0.41211014862142,-0.3375902276513048,-0.5459183673469387,2.6686042449821428,0.6093105951703107,0.6839826839826839,3.80386911558412,3.5479510966394305,0.21878426117675714,-0.3989785710267368,-0.692071377214197,0.7968793535803845,0.041364491001880124,-0.3333333333333333
CUST-001003,25,3.258096538021482,7,2.0794415416798357,524.71,43.72583333333333,6.2647497299005215,3.8005512616042836,0.6642,724,1.0,43.72583333333333,0.0,0.0,0.0,0.1666666666666666,1.0,10,5,58,0.107011,9,0.75,0,542,18.1,17,0.0324,5.0,0,1,4,2,2,8,2.6,Budget,-0.4379815093745525,-0.40367746102880236,-0.4107931288134396,-1.089931154205605,0.020424681833054962,-0.00555247084952804,-0.8010204081632653,1.0012981836680872,-0.7616382439628884,-0.7070707070707071,-0.6086190584934591,0.7771702402162561,1.0308198318918258,0.5709582500690981,1.2688411007255376,-0.43911953190303704,-0.44963738920225643,-0.6666666666666666
CUST-001004,29,3.4011973816621555,13,2.639057329615259,1835.18,101.95444444444443,7.515442605590592,4.634286603444774,3.7762,1629,2.72,37.45265306122449,2.2222222222222223,0.0232,0.1111111111111111,0.0,0.5,5,4,36,0.251748,3,0.1667,0,143,4.8,338,0.1842,5.0,1,1,4,3,3,10,3.3,Standard,-0.3390811249520124,0.0,0.13970493518695618,0.11446810151096347,2.1641552000275537,0.9994447529150472,0.07653061224489814,0.11145955979829732,0.4569829463777331,0.632034632034632,0.37193386907933623,-0.6082201879953303,-0.18735534169813609,1.987036461785691,-0.25622589711745863,-0.8838116466982446,1.1813053988718776,-0.6666666666666666
CUST-001005,77,4.356708826689592,11,2.4849066497880004,1472.99,113.30692307692308,7.295728288465753,4.7388871383184235,0.907,1660,3.0,37.76897435897436,1.9230769230769231,0.0142,0.0,0.0,0.3333,4,6,37,0.086047,4,0.3077,0,430,14.3,126,0.0855,7.0,0,1,2,3,3,8,2.7,At-Risk,0.32129547960974086,-0.1111962106682241,0.042996695649206045,0.2655721749826161,0.18767974925517078,1.033870072182121,0.2193877551020409,0.15632913090594067,0.2929377861395725,0.11255411255411257,-0.6086190584934591,-0.6082201879953303,-0.5934949445730294,0.3658506160126602,0.11242564873521141,-0.5639453886876568,0.12087026591458498,0.0
CUST-001006,18,2.9444389791664403,37,3.6375861597263857,17799.3,349.0058823529412,9.786970590070736,5.857949961064917,1.3409,1394,10.65,32.77955801104972,1.6666666666666667,0.0138,0.1372549019607843,0.0784313725490196,0.4211,13,3,70,0.06135,9,0.1765,0,1141,38.0,2137,0.1201,8.0,0,1,4,5,5,14,4.7,Premium,-0.6547576817477399,0.7202862956929905,1.1395281388564353,1.8821504381046552,0.4865758520329963,0.7384786229872293,4.122448979591836,-0.5514100355724021,0.15232764879257774,0.08946608946608943,0.6026522049788174,0.04372824881012243,-0.37958338409063214,0.12422004750036078,-0.23060330740571278,0.22847589857899137,0.4926134837496642,0.3333333333333333
CUST-001007,99,4.605170185988092,5,1.791759469228055,602.15,86.02142857142857,6.402165922011393,4.466154393745104,0.4817,1278,1.57,54.74090909090909,0.0,0.0,0.1428571428571428,0.1428571428571428,0.6667,6,4,24,0.055046,3,0.4286,0,436,14.5,69,0.1146,6.0,0,0,1,2,2,5,1.7,Churned,0.49301301336846,-0.6111962106682242,-0.350308777147486,-0.12841270017994827,-0.10529216250193735,0.6096612992781788,-0.510204081632653,2.5637656130709585,-0.7616382439628884,-0.7070707070707071,0.6520918483858488,0.5792573219003152,0.21878426117675714,0.06254295700752616,0.42852474017909664,-0.5572582892170521,0.4335213537469781,-0.3333333333333333
CUST-001008,89,4.499809670330265,9,2.302585092994046,532.16,40.93538461538461,6.278821566735817,3.7361299720977756,0.4442,1068,1.15,35.477333333333334,1.5384615384615383,0.0038,0.0,0.0769230769230769,1.5,4,1,19,0.02164,1,0.0769,0,878,29.3,19,0.0357,8.0,1,1,1,2,2,5,1.7,Churned,0.42019586403228093,-0.2427134135851209,-0.40459934688237553,-1.1829930039799714,-0.1311243907899495,0.3764575235980011,-0.7244897959183674,-0.1687357657185678,0.08202258011908024,-0.4877344877344878,-0.6086190584934591,0.031190778871555847,2.2489950054817878,-0.26429474683188253,-0.4910124844761095,-0.06464196154917805,-0.41418211120064474,0.3333333333333333
CUST-001009,6,1.9459101490553132,2,1.0986122886681096,166.39,83.19500000000001,5.120326419114528,4.433135537062272,0.0491,254,1.5,55.46333333333334,0.0,0.0,0.0,0.0,0.75,6,2,23,0.018822,4,2.0,0,1222,40.7,18,0.1082,5.0,1,0,5,1,1,7,2.2,New,-1.3448646206205357,-1.1111962106682243,-0.9145161684421799,-0.1761111536551552,-0.40329274803244514,-0.5274847307051638,-0.5459183673469387,2.666240110191199,-0.7616382439628884,-0.7070707070707071,-0.6086190584934591,-0.6082201879953303,0.4217322450968449,-0.2918655020680513,4.537028563958429,0.3187517414321538,0.36475960247112543,-0.6666666666666666
